ResponseId,MainBranch,EdLevel,Employment,YearsCode,DevType,RemoteWork,Country,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,ConvertedCompYearly
1,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,14.0,"Developer, mobile",Remote,Ukraine,Bash/Shell (all shells);Dart;SQL,Cloud Firestore;PostgreSQL,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Gradle,61256.0
2,I am a developer by profession,"Associate degree (A.A., A.S., etc.)",Employed,10.0,"Developer, back-end","Hybrid (some in-person, leans heavy to flexibility)",Netherlands,Java,Dynamodb;MongoDB,Amazon Web Services (AWS);Datadog;Docker;Homebrew;Kubernetes;Maven (build tool);Terraform,104413.0
3,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",12.0,"Developer, front-end",,Ukraine,Dart;HTML/CSS;JavaScript;TypeScript,MongoDB;MySQL;PostgreSQL,Datadog;Firebase;npm;pnpm,53061.0
4,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,5.0,"Developer, back-end",Remote,Ukraine,Java;Kotlin;SQL,,Amazon Web Services (AWS);Google Cloud,36197.0
5,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",22.0,Engineering manager,,Ukraine,C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;SQL;TypeScript;VBA;Visual Basic (.Net),Elasticsearch;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);APT;Docker;Make;Maven (build tool);MSBuild;npm;NuGet;Pip,60000.0
6,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",20.0,"Developer, back-end",,Ukraine,Java;Scala,,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,120000.0
7,I am a developer by profession,Some college/university study without earning a degree,"Independent contractor, freelancer, or self-employed",13.0,"Developer, full-stack",,Ukraine,JavaScript;TypeScript,,Amazon Web Services (AWS);Docker;Homebrew;npm;pnpm;Webpack,6240.0
8,I am a developer by profession,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,30.0,"Architect, software or solutions",Remote,Ukraine,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,MongoDB;PostgreSQL;SQLite,Amazon Web Services (AWS);APT;Docker;Google Cloud;Homebrew;npm;Pip,72000.0
9,I am a developer by profession,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,15.0,Data engineer,Remote,Ukraine,Java;Python;Scala,Cassandra;Databricks SQL;DuckDB;Dynamodb;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Snowflake;Amazon Redshift,Amazon Web Services (AWS);Datadog;Docker;Microsoft Azure;Splunk,70000.0
10,I am a developer by profession,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,10.0,"Developer, mobile",Remote,Ukraine,,,,5400.0
